high,low,volume,close,open,time
309.95,309.16,2537774.0,309.2,309.95,1654632000
309.36,309.17,65636.0,309.27,309.19,1654635600
309.75,309.25,83381.0,309.37,309.27,1654639200
309.71,308.89,109109.0,308.93,309.49,1654642800
309.45,308.45,53563.0,309.13,308.45,1654675200
309.56,308.81,19028.0,309.31,309.18,1654678800
309.63,308.5,32728.0,309.48,309.2,1654682400
310.17,309.24,186031.0,309.38,309.52,1654686000
310.102,308.04,425733.0,308.59,309.33,1654689600
311.72,307.95,7025158.0,311.15,308.59,1654693200
311.4893,309.37,6235129.0,310.0322,311.175,1654696800
311.48,309.41,3854819.0,310.32,310.0699,1654700400
310.86,307.4,4672259.0,308.4,310.32,1654704000
308.4099,306.77,4422491.0,308.06,308.36,1654707600
308.57,306.96,4359663.0,307.67,308.07,1654711200
308.67,306.8,5512484.0,307.7,307.68,1654714800
307.9,307.19,1166634.0,307.84,307.73,1654718400
307.9,307.64,93301.0,307.7,307.72,1654722000
307.98,307.5,128387.0,307.97,307.73,1654725600
308.03,307.69,57332.0,307.82,307.91,1654729200
309.16,307.07,97797.0,309.13,307.5,1654761600
309.3,308.64,64524.0,308.78,309.12,1654765200
310.33,308.55,82729.0,309.54,308.83,1654768800
310.11,308.14,362447.0,308.33,309.47,1654772400
